"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
747412,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747414,5,11,5,11,93,11,5,11,91,11,5,11,93,11,5,11,92,11,90,11,47,11,16,11,11
747415,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747416,4,,4,,90,,4,,86,,4,,85,,4,,87,,81,,278,,32,,
747417,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747418,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747419,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747420,3,,3,,85,,2,,81,,2,,75,,3,,78,,72,,364,,22,,
747421,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747422,Not Available,11,Not Available,11,89,11,Not Available,11,88,11,Not Available,11,84,11,Not Available,11,78,11,71,11,35,11,16,11,11
747424,5,11,5,11,95,11,5,11,96,11,3,11,80,11,5,11,93,11,89,11,44,11,29,11,11
747425,5,11,4,11,91,11,5,11,91,11,4,11,85,11,5,11,90,11,87,11,54,11,21,11,11
747426,5,11,5,11,97,11,5,11,94,11,5,11,96,11,5,11,100,11,93,11,40,11,21,11,11
747427,3,11,4,11,91,11,1,11,75,11,4,11,86,11,4,11,82,11,85,11,64,11,26,11,11
747431,Not Available,11,Not Available,11,94,11,Not Available,11,85,11,Not Available,11,86,11,Not Available,11,95,11,81,11,20,11,17,11,11
747432,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747433,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747434,Not Available,"10,11",Not Available,"10,11",74,"10,11",Not Available,"10,11",71,"10,11",Not Available,"10,11",86,"10,11",Not Available,"10,11",57,"10,11",45,"10,11",31,"10,11",26,"10,11","10,11"
747435,Not Available,11,Not Available,11,92,11,Not Available,11,95,11,Not Available,11,85,11,Not Available,11,100,11,67,11,14,11,24,11,11
747436,Not Available,11,Not Available,11,99,11,Not Available,11,98,11,Not Available,11,99,11,Not Available,11,95,11,95,11,18,11,53,11,11
747437,4,,4,,89,,4,,88,,3,,81,,5,,89,,85,,80,,22,,
747441,Not Available,11,Not Available,11,91,11,Not Available,11,81,11,Not Available,11,80,11,Not Available,11,78,11,67,11,21,11,19,11,11
747442,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747443,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747444,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747445,Not Available,11,Not Available,11,81,11,Not Available,11,84,11,Not Available,11,82,11,Not Available,11,85,11,67,11,32,11,39,11,11
747446,Not Available,11,Not Available,11,93,11,Not Available,11,95,11,Not Available,11,87,11,Not Available,11,88,11,70,11,20,11,11,11,11
747447,3,11,2,11,80,11,1,11,77,11,4,11,83,11,3,11,71,11,72,11,68,11,39,11,11
747449,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747450,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747452,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747454,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747455,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747456,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747457,Not Available,9,Not Available,9,100,9,Not Available,9,89,9,Not Available,9,88,9,Not Available,9,94,9,55,9,8,9,19,9,9
747460,4,,4,,88,,3,,84,,4,,85,,5,,87,,86,,72,,27,,
747463,Not Available,11,Not Available,11,90,11,Not Available,11,91,11,Not Available,11,88,11,Not Available,11,90,11,75,11,29,11,24,11,11
747464,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747465,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747467,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747468,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747469,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747470,Not Available,11,Not Available,11,88,11,Not Available,11,78,11,Not Available,11,73,11,Not Available,11,74,11,62,11,37,11,41,11,11
747471,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747472,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747473,Not Available,11,Not Available,11,89,11,Not Available,11,86,11,Not Available,11,79,11,Not Available,11,74,11,78,11,36,11,22,11,11
747474,Not Available,11,Not Available,11,85,11,Not Available,11,82,11,Not Available,11,96,11,Not Available,11,74,11,76,11,25,11,26,11,11
747476,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747479,Not Available,11,Not Available,11,98,11,Not Available,11,89,11,Not Available,11,92,11,Not Available,11,90,11,91,11,17,11,31,11,11
747481,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747482,Not Available,11,Not Available,11,95,11,Not Available,11,96,11,Not Available,11,98,11,Not Available,11,90,11,83,11,13,11,20,11,11
747486,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747487,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747488,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747489,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747490,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747491,2,11,2,11,81,11,2,11,77,11,2,11,74,11,2,11,69,11,60,11,67,11,17,11,11
747492,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747493,5,11,5,11,93,11,5,11,91,11,5,11,97,11,5,11,95,11,95,11,62,11,44,11,11
747494,Not Available,11,Not Available,11,83,11,Not Available,11,84,11,Not Available,11,88,11,Not Available,11,82,11,66,11,15,11,26,11,11
747495,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747496,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747498,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747499,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747500,Not Available,9,Not Available,9,87,9,Not Available,9,86,9,Not Available,9,97,9,Not Available,9,88,9,76,9,5,9,19,9,9
747501,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747503,Not Available,11,Not Available,11,94,11,Not Available,11,89,11,Not Available,11,91,11,Not Available,11,99,11,88,11,16,11,31,11,11
747505,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747506,Not Available,11,Not Available,11,92,11,Not Available,11,82,11,Not Available,11,91,11,Not Available,11,88,11,76,11,34,11,21,11,11
747507,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747508,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747509,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747510,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747512,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747513,Not Available,11,Not Available,11,93,11,Not Available,11,80,11,Not Available,11,86,11,Not Available,11,82,11,77,11,12,11,21,11,11
747514,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747517,4,,4,,88,,5,,90,,3,,79,,4,,82,,77,,145,,21,,
747518,3,,3,,85,,3,,84,,4,,86,,3,,80,,79,,89,,32,,
747519,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747520,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747521,3,,3,,87,,2,,84,,4,,86,,4,,85,,71,,92,,38,,
747522,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747524,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747526,5,,4,,90,,5,,90,,5,,90,,4,,85,,83,,77,,19,,
747527,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747529,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747530,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747531,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747532,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747533,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747534,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747535,Not Available,11,Not Available,11,85,11,Not Available,11,80,11,Not Available,11,88,11,Not Available,11,79,11,72,11,30,11,15,11,11
747536,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747537,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747538,4,,3,,87,,4,,86,,3,,80,,4,,82,,74,,205,,24,,
747539,4,11,3,11,85,11,5,11,91,11,2,11,72,11,5,11,86,11,71,11,58,11,22,11,11
747540,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747541,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747542,Not Available,9,Not Available,9,100,9,Not Available,9,96,9,Not Available,9,97,9,Not Available,9,56,9,89,9,6,9,29,9,9
747543,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747545,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747546,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747548,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747550,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747551,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747552,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747553,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747554,Not Available,11,Not Available,11,98,11,Not Available,11,97,11,Not Available,11,98,11,Not Available,11,100,11,100,11,11,11,22,11,11
747555,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747556,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747557,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747559,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747560,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747562,Not Available,11,Not Available,11,85,11,Not Available,11,83,11,Not Available,11,87,11,Not Available,11,77,11,79,11,14,11,21,11,11
747563,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747564,Not Available,11,Not Available,11,94,11,Not Available,11,91,11,Not Available,11,94,11,Not Available,11,90,11,89,11,39,11,34,11,11
747565,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747566,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747567,Not Available,9,Not Available,9,89,9,Not Available,9,79,9,Not Available,9,85,9,Not Available,9,39,9,76,9,8,9,16,9,9
747568,Not Available,11,Not Available,11,90,11,Not Available,11,85,11,Not Available,11,83,11,Not Available,11,84,11,82,11,27,11,25,11,11
747570,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747571,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747572,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747573,4,,4,,86,,5,,88,,2,,73,,5,,88,,71,,86,,34,,
747574,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747575,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747576,4,11,5,11,91,11,4,11,83,11,3,11,81,11,3,11,81,11,75,11,53,11,22,11,11
747577,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747578,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747579,5,,5,,92,,5,,89,,3,,79,,5,,88,,77,,117,,29,,
747580,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747581,4,,4,,90,,4,,89,,3,,80,,5,,88,,86,,417,,29,,
747582,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747583,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747584,Not Available,9,Not Available,9,100,9,Not Available,9,98,9,Not Available,9,100,9,Not Available,9,100,9,66,9,5,9,7,9,9
747586,Not Available,9,Not Available,9,95,9,Not Available,9,98,9,Not Available,9,98,9,Not Available,9,96,9,96,9,5,9,14,9,9
747587,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747588,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747589,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747591,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747592,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747593,Not Available,11,Not Available,11,100,11,Not Available,11,99,11,Not Available,11,92,11,Not Available,11,100,11,92,11,13,11,13,11,11
747595,2,11,1,11,78,11,1,11,74,11,3,11,79,11,3,11,79,11,65,11,69,11,20,11,11
747596,Not Available,11,Not Available,11,88,11,Not Available,11,85,11,Not Available,11,93,11,Not Available,11,83,11,74,11,22,11,26,11,11
747597,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747598,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747599,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747600,4,,4,,88,,4,,89,,3,,82,,3,,84,,80,,83,,26,,
747603,Not Available,11,Not Available,11,90,11,Not Available,11,89,11,Not Available,11,89,11,Not Available,11,83,11,84,11,33,11,20,11,11
747604,3,,3,,86,,2,,81,,2,,71,,3,,73,,67,,97,,29,,
747606,4,11,4,11,89,11,3,11,85,11,5,11,89,11,3,11,77,11,78,11,62,11,27,11,11
747607,4,11,3,11,88,11,4,11,89,11,5,11,91,11,5,11,87,11,82,11,63,11,24,11,11
747608,Not Available,9,Not Available,9,94,9,Not Available,9,91,9,Not Available,9,83,9,Not Available,9,98,9,86,9,7,9,15,9,9
747609,Not Available,9,Not Available,9,93,9,Not Available,9,80,9,Not Available,9,91,9,Not Available,9,84,9,95,9,7,9,33,9,9
747611,Not Available,11,Not Available,11,74,11,Not Available,11,70,11,Not Available,11,76,11,Not Available,11,61,11,55,11,38,11,20,11,11
747612,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747613,5,11,5,11,92,11,5,11,86,11,4,11,85,11,5,11,88,11,69,11,55,11,45,11,11
747614,3,,3,,86,,3,,84,,3,,81,,4,,88,,76,,133,,18,,
747615,Not Available,11,Not Available,11,93,11,Not Available,11,92,11,Not Available,11,76,11,Not Available,11,84,11,85,11,18,11,20,11,11
747616,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747617,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747618,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747619,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747620,Not Available,11,Not Available,11,81,11,Not Available,11,74,11,Not Available,11,82,11,Not Available,11,81,11,64,11,36,11,46,11,11
747621,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747622,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747623,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747624,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747625,Not Available,11,Not Available,11,95,11,Not Available,11,89,11,Not Available,11,91,11,Not Available,11,87,11,85,11,35,11,30,11,11
747626,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747627,4,11,4,11,88,11,3,11,84,11,3,11,82,11,5,11,89,11,84,11,46,11,23,11,11
747628,4,,4,,91,,4,,85,,4,,85,,5,,91,,82,,155,,27,,
747629,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
747630,5,,5,,91,,5,,89,,4,,83,,5,,89,,82,,120,,36,,
